,DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
1,Araria,188,Narpatganj,1112,Bela,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Bhairoganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Basmatiya,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Dombana,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Jitwarpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Maheshpatti,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Ghurna,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Pathraha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Asura Kalan Khola,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Majrakh,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Amgachhi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Dehpur Majrakh Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Bhawanipur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Manikpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Kamat Pathraha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Katpahar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhaloa,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Lolokhur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Muraripur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Madhubani,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Dahipura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Amgachhi Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Madhubani,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Goarpuchhri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Nawabganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Forbesganj,1113,Jogbani,1.007E+15,Town,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Kuari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Amgachhi Milik Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhishunpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Bhadwar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Sonapur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Dumaria,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Phasimagrabi and Phasimashraqi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Bhorhar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhimpur Khar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Dainia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Amrori,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Pahara,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Sikti,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Pahara Sikti,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Kuan Pokhar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Soksanand Bhag Khutpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Palasmani,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Saidabad,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Sisabari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Bhirbhiri,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Pokharia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Kuchgaon,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Barmotra Arazi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Kuchaha,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Khuthara Mashragi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Barahmasia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Haripur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Khuthura Magrabi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Sundari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Lachhmipur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Darha Pipra,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Chakorwa,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Rajaula,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Narpatganj,1112,Tope Nawabganj,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Narpatganj,1112,Hanumannagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Bokantari,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Banmali,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Tera Khurdah,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Sikti,1118,Dehpur Khardah Milik,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Harira,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Dithaura,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Anchraand Hanuman nagar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Sikti,1118,Barahmasia Ranikatta,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Sikti,1118,Saida Pokhar,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Kursakatta,1117,Bhagtira,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Balchanda,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Chaita,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
2,Araria,188,Narpatganj,1112,Bhanghi,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
3,Araria,188,Kursakatta,1117,Maratibpur,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
1,Araria,188,Kursakatta,1117,Siktia,1.007E+15,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
