DISTRICT,DIST_LGD,SUB_DIST,Subdt_LGD,NAME,CEN_2001,TYPE,STATE,nutrition_idx,protection_idx,education_idx,health_idx,child_anaemia,early_marriage,anc_4plus
Pashchim Champaran,211,Sidhaw,1013,Bhaisalotan,'1001000100000200,Village,Bihar,0.62,0.7,0.55,0.48,0.58,0.31,0.42
Pashchim Champaran,211,Sidhaw,1013,Kalapani,'1001000100000100,Village,Bihar,0.84,1.4,1.6,1.4,1.4,1.8,1.4
Pashchim Champaran,211,Sidhaw,1013,Tharhi,'1001000100000300,Village,Bihar,1.26,2.1,2.4,2.1,2.1,2.7,2.1
Pashchim Champaran,211,Ramnagar,1014,Naurangia,'1001000200019200,Village,Bihar,1.68,2.8,3.2,2.8,2.8,3.6,2.8
Pashchim Champaran,211,Ramnagar,1014,Gardi,'1001000200019100,Village,Bihar,2.1,3.5,4,3.5,3.5,4.5,3.5
Pashchim Champaran,211,Sidhaw,1013,Pipra,'1001000100000400,Village,Bihar,2.52,4.2,4.8,4.2,4.2,5.4,4.2
Pashchim Champaran,211,Ramnagar,1014,Dhayar,'1001000200019800,Village,Bihar,2.94,4.9,5.6,4.9,4.9,6.3,4.9
Pashchim Champaran,211,Ramnagar,1014,Majurha,'1001000200019300,Village,Bihar,3.36,5.6,6.4,5.6,5.6,7.2,5.6
Pashchim Champaran,211,Ramnagar,1014,Betahni,'1001000200019900,Village,Bihar,3.78,6.3,7.2,6.3,6.3,8.1,6.3
Pashchim Champaran,211,Sidhaw,1013,Kotaraha,'1001000100000500,Village,Bihar,4.2,7,8,7,7,9,7
Pashchim Champaran,211,Ramnagar,1014,Bhulbhuliya,'1001000200020000,Village,Bihar,4.62,7.7,8.8,7.7,7.7,9.9,7.7
Pashchim Champaran,211,Ramnagar,1014,Belatandi,'1001000200020100,Village,Bihar,5.04,8.4,9.6,8.4,8.4,10.8,8.4
Pashchim Champaran,211,Ramnagar,1014,Jhajhri,'1001000200019700,Village,Bihar,5.46,9.1,10.4,9.1,9.1,11.7,9.1
Pashchim Champaran,211,Sidhaw,1013,Lachhmipur,'1001000100000700,Village,Bihar,5.88,9.8,11.2,9.8,9.8,12.6,9.8
Pashchim Champaran,211,Ramnagar,1014,Gobrahia,'1001000200019600,Village,Bihar,6.3,10.5,12,10.5,10.5,13.5,10.5
Pashchim Champaran,211,Ramnagar,1014,Bairiya Kalan,'1001000200019400,Village,Bihar,6.72,11.2,12.8,11.2,11.2,14.4,11.2
Pashchim Champaran,211,Sidhaw,1013,Daruabari,'1001000100000800,Village,Bihar,7.14,11.9,13.6,11.9,11.9,15.3,11.9
Pashchim Champaran,211,Ramnagar,1014,Karmaha,'1001000200020500,Village,Bihar,7.56,12.6,14.4,12.6,12.6,16.2,12.6
Pashchim Champaran,211,Sidhaw,1013,Rampurwa,'1001000100000600,Village,Bihar,7.98,13.3,15.2,13.3,13.3,17.1,13.3
Pashchim Champaran,211,Ramnagar,1014,Pipra,'1001000200020200,Village,Bihar,8.4,14,16,14,14,18,14
Pashchim Champaran,211,Ramnagar,1014,Bankatwa,'1001000200020400,Village,Bihar,8.82,14.7,16.8,14.7,14.7,18.9,14.7
Pashchim Champaran,211,Ramnagar,1014,Barwa Dih,'1001000200019500,Village,Bihar,9.24,15.4,17.6,15.4,15.4,19.8,15.4
Pashchim Champaran,211,Sidhaw,1013,Santpur,'1001000100000900,Village,Bihar,9.66,16.1,18.4,16.1,16.1,20.7,16.1
Pashchim Champaran,211,Sidhaw,1013,Parsauni,'1001000100001100,Village,Bihar,10.08,16.8,19.2,16.8,16.8,21.6,16.8
Pashchim Champaran,211,Ramnagar,1014,Rupwaliya,'1001000200020300,Village,Bihar,10.5,17.5,20,17.5,17.5,22.5,17.5
Pashchim Champaran,211,Sidhaw,1013,Soharia,'1001000100001000,Village,Bihar,10.92,18.2,20.8,18.2,18.2,23.4,18.2
Pashchim Champaran,211,Ramnagar,1014,Dhobaha,'1001000200020600,Village,Bihar,11.34,18.9,21.6,18.9,18.9,24.3,18.9
Pashchim Champaran,211,Ramnagar,1014,Serahwa,'1001000200018100,Village,Bihar,11.76,19.6,22.4,19.6,19.6,25.2,19.6
Pashchim Champaran,211,Sidhaw,1013,Balgangwa,'1001000100001200,Village,Bihar,12.18,20.3,23.2,20.3,20.3,26.1,20.3
Pashchim Champaran,211,Sidhaw,1013,Shiunaha,'1001000100001400,Village,Bihar,12.6,21,24,21,21,27,21
Pashchim Champaran,211,Ramnagar,1014,Dokhni,'1001000200020800,Village,Bihar,13.02,21.7,24.8,21.7,21.7,27.9,21.7
Pashchim Champaran,211,Sidhaw,1013,Jharharwa,'1001000100001300,Village,Bihar,13.44,22.4,25.6,22.4,22.4,28.8,22.4
Pashchim Champaran,211,Sidhaw,1013,Gorar,'1001000100001900,Village,Bihar,13.86,23.1,26.4,23.1,23.1,29.7,23.1
Pashchim Champaran,211,Ramnagar,1014,Raghia,'1001000200021200,Village,Bihar,14.28,23.8,27.2,23.8,23.8,30.6,23.8
Pashchim Champaran,211,Sidhaw,1013,Gonauli,'1001000100001700,Village,Bihar,14.7,24.5,28,24.5,24.5,31.5,24.5
Pashchim Champaran,211,Sidhaw,1013,Narainapur,'1001000100001600,Village,Bihar,15.12,25.2,28.8,25.2,25.2,32.4,25.2
Pashchim Champaran,211,Ramnagar,1014,Banarha,'1001000200021100,Village,Bihar,15.54,25.9,29.6,25.9,25.9,33.3,25.9
Pashchim Champaran,211,Ramnagar,1014,Sitalbari,'1001000200021300,Village,Bihar,15.96,26.6,30.4,26.6,26.6,34.2,26.6
Pashchim Champaran,211,Ramnagar,1014,Narkatia,'1001000200020900,Village,Bihar,16.38,27.3,31.2,27.3,27.3,35.1,27.3
Pashchim Champaran,211,Sidhaw,1013,Malkauli,'1001000100001800,Village,Bihar,16.8,28,32,28,28,36,28
Pashchim Champaran,211,Sidhaw,1013,Champapur,'1001000100001500,Village,Bihar,17.22,28.7,32.8,28.7,28.7,36.9,28.7
