SN,﻿PSU,Freq.,Percent,Cum.
2,1,20,1,1
4,3,20,1,3.01
6,5,20,1,4.92
8,7,20,1,6.93
10,9,20,1,8.94
13,12,20,1,11.95
15,14,20,1,13.96
17,16,20,1,15.97
19,18,20,1,17.98
21,20,19,0.95,19.94
24,23,20,1,22.9
26,25,19,0.95,24.86
28,27,20,1,26.92
30,29,20,1,28.93
33,32,20,1,31.94
35,34,20,1,33.95
37,36,20,1,35.96
39,38,20,1,37.97
41,40,20,1,39.98
44,43,20,1,42.99
46,45,20,1,45
48,47,18,0.9,46.91
50,49,20,1,48.92
53,52,20,1,51.93
55,54,20,1,53.94
57,56,20,1,55.95
59,58,20,1,57.96
61,60,20,1,59.97
64,63,18,0.9,62.88
66,65,20,1,64.89
68,67,20,1,66.9
70,69,20,1,68.91
72,71,20,1,70.92
75,74,20,1,73.93
77,76,20,1,75.94
79,78,20,1,77.95
81,80,20,1,79.96
84,83,20,1,82.97
86,85,21,1.05,85.03
88,87,20,1,86.99
90,89,20,1,89
92,91,20,1,91.01
95,94,20,1,94.02
97,96,20,1,96.03
99,98,20,1,98.04
101,100,19,0.95,100
