theme_id,theme_name,category_id
1,Comprehensive Assessment of Facility,1
2,Marital Status and co-habitation ,1
3,"Reproductive, Child Health & Nutrition (RCN)",1
4,"Pregnancy, Delivery, Postnatal care and Child Nutrition",1
5,Child Health,1
6,Adolescent Health,1
7,Family Planning ,1
8,Awareness/ Knowledge about Sexual Intercourse and Pregnancy ,1
9,Abortion- Knowledge and Practice,1
10,Loan,4
11,Joint Liability Group (JLG),4
12,Human Resource ,11
13,Respectful Patient Care: Basic amenities,11
14,Agency (Girl?s choice/advice) ,11
15,Balance of Power ,11
16,Marriage ,11
17,Reproductive choice/contraception ,11
18,Mobility,11
19,Agency (Girl?s choice/advice),12
20,Balance of Power,12
21,Marriage,12
22,Reproductive choice/contraception,12
23,Mobility,12
24,Socio Demographic ,17
25,Birth History (Respondent and family members),17
26,Place of Residence,17
27,Utilization of Services,17
28,Trafficking,17
