question_bank_name,sss_column
"Have you ever hit, slapped, kicked, or done anything else to physically hurt your (last) husband at times when he was not already beating or physically hurting you?",2
"(Does/did) your (last) husband drink alcohol?",3
"How often (does/did) he get drunk: often, only sometimes, or never?",4
"Who has hurt you in this way?",5
"Has any one ever hit, slapped, kicked, or done anything else to hurt you physically while you were pregnant?",6
"Now I want to ask you about things that may have been done to you by someone other than (your/any) husband. At any time in your life, as a child or as an adult, has anyone ever forced you in any way to have sexual intercourse or perform any other sexual acts when you did not want to?",7
"At any time in your life, as a child or as an adult, has anyone ever forced you in any way to have sexual intercourse or perform any other sexual acts when you did not want to?",8
"Who was the person who was forcing you the very first time this happened?",9
"Thinking about what you yourself have experienced among the different things we have been talking about, have you ever tried to seek help?",10
"From whom have you sought help?",11
"Where did you go for medical help?",12
